base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
3hop_percentage_chain_0019,branch_and_pick,3,wrong_percentage_base,False,False,0.9999998003194334,0.6667558428085395,True,2
2hop_percentage_0033,baseline,2,magnitude_error,False,False,0.9999934752314958,0.550326308781727,True,0
2hop_percentage_0033,reprompt,2,magnitude_error,False,False,0.9999934752314958,0.550326308781727,True,1
2hop_percentage_0033,replace_prior,2,magnitude_error,False,False,0.5307899049586512,0.3157245236453047,False,1
2hop_percentage_0033,branch_and_pick,2,magnitude_error,False,False,0.9999780958081596,0.5503186190700589,True,1
2hop_rate_distance_0030,baseline,2,off_by_one,False,False,0.7629316077713754,0.4789342080960928,False,0
2hop_rate_distance_0030,reprompt,2,off_by_one,False,False,0.7629316077713754,0.4789342080960928,False,0
2hop_rate_distance_0030,replace_prior,2,off_by_one,False,False,0.7629316077713754,0.4789342080960928,False,0
2hop_rate_distance_0030,branch_and_pick,2,off_by_one,False,False,0.7629316077713754,0.4789342080960928,False,0
4hop_nested_fractions_0021,baseline,4,wrong_operator,False,False,0.9999995014547332,0.771923429262203,True,0
4hop_nested_fractions_0021,reprompt,4,wrong_operator,False,False,0.9999995014547332,0.771923429262203,True,3
4hop_nested_fractions_0021,replace_prior,4,wrong_operator,False,False,0.0876983291826495,0.0276687836268649,False,1
4hop_nested_fractions_0021,branch_and_pick,4,wrong_operator,False,False,0.999998268148596,0.7719202434129685,True,3
2hop_percentage_0042,baseline,2,wrong_unit,False,False,0.9932184960256631,0.5471522848923163,True,0
2hop_percentage_0042,reprompt,2,wrong_unit,False,False,0.9932184960256631,0.5471522848923163,True,1
2hop_percentage_0042,replace_prior,2,wrong_unit,False,False,0.3222086684051875,0.2116473710820784,False,1
2hop_percentage_0042,branch_and_pick,2,wrong_unit,False,False,0.983673809330134,0.5423799415445517,True,1
4hop_multi_stage_allocation_0024,baseline,4,wrong_percentage_base,False,False,0.999999988923238,0.7515347428984502,True,0
4hop_multi_stage_allocation_0024,reprompt,4,wrong_percentage_base,False,False,0.999999988923238,0.7515347428984502,True,3
4hop_multi_stage_allocation_0024,replace_prior,4,wrong_percentage_base,False,False,0.0546328618163737,0.0218517921595992,False,1
4hop_multi_stage_allocation_0024,branch_and_pick,4,wrong_percentage_base,False,False,0.999999976901808,0.7515573412013367,True,3
3hop_compound_rate_0038,baseline,3,magnitude_error,False,False,0.9999934581087432,0.6815711947390111,True,0
3hop_compound_rate_0038,reprompt,3,magnitude_error,False,False,0.9999934581087432,0.6815711947390111,True,2
3hop_compound_rate_0038,replace_prior,3,magnitude_error,False,False,0.6646979744582087,0.4284677737716056,False,1
3hop_compound_rate_0038,branch_and_pick,3,magnitude_error,False,False,0.9999868038920292,0.6815465310581276,True,2
3hop_percentage_chain_0032,baseline,3,wrong_unit,False,False,0.99999993515147,0.6667958326728921,True,0
3hop_percentage_chain_0032,reprompt,3,wrong_unit,False,False,0.99999993515147,0.6667958326728921,True,2
3hop_percentage_chain_0032,replace_prior,3,wrong_unit,False,False,0.1238159304545579,0.0682847279895374,False,1
3hop_percentage_chain_0032,branch_and_pick,3,wrong_unit,False,False,0.999999905716046,0.6668005879451441,True,2
3hop_multi_stage_geometry_0042,baseline,3,wrong_unit,False,False,0.99971863812312,0.8635684773744221,True,0
3hop_multi_stage_geometry_0042,reprompt,3,wrong_unit,False,False,0.99971863812312,0.8635684773744221,True,2
3hop_multi_stage_geometry_0042,replace_prior,3,wrong_unit,False,False,0.6007810793690406,0.3961451494911521,False,1
3hop_multi_stage_geometry_0042,branch_and_pick,3,wrong_unit,False,False,0.9990483945409878,0.8619737124890725,True,2
3hop_percentage_chain_0041,baseline,3,wrong_operator,False,False,0.9999999992644144,0.6667437399905892,True,0
3hop_percentage_chain_0041,reprompt,3,wrong_operator,False,False,0.9999999992644144,0.6667437399905892,True,2
3hop_percentage_chain_0041,replace_prior,3,wrong_operator,False,False,0.0024074543112205,0.0016402567173942,False,1
3hop_percentage_chain_0041,branch_and_pick,3,wrong_operator,False,True,0.9999999997316484,0.666755822381302,True,2
2hop_arithmetic_0012,baseline,2,wrong_unit,False,False,0.9999953669456398,0.5096483991665768,True,0
2hop_arithmetic_0012,reprompt,2,wrong_unit,False,False,0.9999953669456398,0.5096483991665768,True,1
2hop_arithmetic_0012,replace_prior,2,wrong_unit,False,False,0.1620810460904558,0.0906912387389848,False,1
2hop_arithmetic_0012,branch_and_pick,2,wrong_unit,False,False,0.9999999116904236,0.5096506715389686,True,1
2hop_counting_0017,baseline,2,wrong_unit,False,False,0.9996574752898444,0.4998650275555129,True,0
2hop_counting_0017,reprompt,2,wrong_unit,False,False,0.9996574752898444,0.4998650275555129,True,1
2hop_counting_0017,replace_prior,2,wrong_unit,False,False,0.0001108855924959,9.173270683876338e-05,False,1
2hop_counting_0017,branch_and_pick,2,wrong_unit,False,False,0.9999932030222624,0.500032891421722,True,1
2hop_fractions_0014,baseline,2,wrong_percentage_base,False,False,0.9999998657864112,0.5026126193988493,True,0
2hop_fractions_0014,reprompt,2,wrong_percentage_base,False,False,0.9999998657864112,0.5026126193988493,True,1
2hop_fractions_0014,replace_prior,2,wrong_percentage_base,False,True,0.0052253730112873,0.0045470127500859,False,1
2hop_fractions_0014,branch_and_pick,2,wrong_percentage_base,False,False,0.9999998977758404,0.5026126353935639,True,1
4hop_compound_interest_0003,baseline,4,magnitude_error,False,False,0.9999999740517584,0.7498143031596993,True,0
4hop_compound_interest_0003,reprompt,4,magnitude_error,False,False,0.9999999740517584,0.7498143031596993,True,3
4hop_compound_interest_0003,replace_prior,4,magnitude_error,False,False,0.0042509752470017,0.0011078071732513,False,1
4hop_compound_interest_0003,branch_and_pick,4,magnitude_error,False,False,0.999999828914758,0.749897797509388,True,3
2hop_fractions_0034,baseline,2,wrong_percentage_base,False,False,0.9999999933966764,0.5069929234233771,True,0
2hop_fractions_0034,reprompt,2,wrong_percentage_base,False,False,0.9999999933966764,0.5069929234233771,True,1
